     1	178.969
     2	178.308
     3	177.753
     4	177.316
     5	176.999
     6	176.792
     7	176.676
     8	176.625
     9	176.611
    10	176.605
    11	176.584
    12	176.525
    13	176.407
    14	176.214
    15	175.928
    16	175.541
    17	175.048
    18	174.455
    19	173.771
    20	173.016
    21	172.212
    22	171.388
    23	170.576
    24	169.809
    25	169.122
    26	168.551
    27	168.123
    28	167.859
    29	167.767
    30	167.853
    31	168.115
    32	168.551
    33	169.158
    34	169.921
    35	170.819
    36	171.812
    37	172.854
    38	173.895
    39	174.896
    40	175.835
    41	176.703
    42	177.506
    43	178.254
    44	178.958
    45	179.623
    46	-179.752
    47	-179.169
    48	-178.633
    49	-178.154
    50	-177.742
    51	-177.415
    52	-177.198
    53	-177.121
    54	-177.217
    55	-177.515
    56	-178.028
    57	-178.755
    58	-179.672
    59	179.258
    60	178.079
    61	176.842
    62	175.604
    63	174.425
    64	173.378
    65	172.529
    66	171.932
    67	171.623
    68	171.612
    69	171.889
    70	172.429
    71	173.200
    72	174.166
    73	175.289
    74	176.527
    75	177.836
    76	179.170
    77	-179.512
    78	-178.245
    79	-177.056
    80	-175.960
    81	-174.967
    82	-174.086
    83	-173.328
    84	-172.709
    85	-172.248
    86	-171.964
    87	-171.878
    88	-172.006
    89	-172.362
    90	-172.960
    91	-173.813
    92	-174.929
    93	-176.308
    94	-177.929
    95	-179.749
    96	178.298
    97	176.287
    98	174.289
    99	172.355
   100	170.521
   101	168.811
   102	167.244
   103	165.840
   104	164.619
   105	163.604
   106	162.811
   107	162.249
   108	161.917
   109	161.808
   110	161.910
   111	162.213
   112	162.711
   113	163.401
   114	164.279
   115	165.336
   116	166.551
   117	167.888
   118	169.295
   119	170.718
   120	172.107
   121	173.418
   122	174.617
   123	175.677
   124	176.574
   125	177.291
   126	177.824
   127	178.177
   128	178.365
   129	178.407
   130	178.323
   131	178.130
   132	177.840
   133	177.458
   134	176.990
   135	176.444
   136	175.826
   137	175.145
   138	174.410
   139	173.628
   140	172.806
   141	171.958
   142	171.111
   143	170.307
   144	169.603
   145	169.058
   146	168.718
   147	168.611
   148	168.744
   149	169.115
   150	169.721
   151	170.559
   152	171.626
   153	172.916
   154	174.409
   155	176.069
   156	177.843
   157	179.666
   158	-178.528
   159	-176.795
   160	-175.182
   161	-173.726
   162	-172.461
   163	-171.419
   164	-170.636
   165	-170.138
   166	-169.943
   167	-170.048
   168	-170.432
   169	-171.060
   170	-171.893
   171	-172.887
   172	-174.003
   173	-175.201
   174	-176.445
   175	-177.696
   176	-178.923
   177	179.898
   178	178.781
   179	177.729
   180	176.740
   181	175.807
   182	174.921
   183	174.081
   184	173.286
   185	172.542
   186	171.861
   187	171.254
   188	170.733
   189	170.315
   190	170.019
   191	169.872
   192	169.905
   193	170.143
   194	170.597
   195	171.253
   196	172.074
   197	173.011
   198	174.013
   199	175.040
   200	176.061
   201	177.047
   202	177.966
   203	178.783
   204	179.452
   205	179.931
   206	-179.811
   207	-179.781
   208	-179.965
   209	179.667
   210	179.152
   211	178.524
   212	177.812
   213	177.037
   214	176.221
   215	175.387
   216	174.564
   217	173.778
   218	173.049
   219	172.382
   220	171.766
   221	171.185
   222	170.616
   223	170.048
   224	169.478
   225	168.911
   226	168.361
   227	167.842
   228	167.369
   229	166.951
   230	166.596
   231	166.308
   232	166.089
   233	165.942
   234	165.871
   235	165.879
   236	165.965
   237	166.128
   238	166.365
   239	166.670
   240	167.035
   241	167.452
   242	167.908
   243	168.385
   244	168.859
   245	169.300
   246	169.686
   247	170.003
   248	170.257
   249	170.464
   250	170.651
   251	170.844
   252	171.065
   253	171.328
   254	171.645
   255	172.020
   256	172.459
   257	172.966
   258	173.544
   259	174.191
   260	174.895
   261	175.633
   262	176.373
   263	177.077
   264	177.704
   265	178.214
   266	178.571
   267	178.744
   268	178.710
   269	178.453
   270	177.966
   271	177.253
   272	176.334
   273	175.247
   274	174.049
   275	172.808
   276	171.594
   277	170.471
   278	169.483
   279	168.662
   280	168.032
   281	167.615
   282	167.433
   283	167.505
   284	167.836
   285	168.416
   286	169.211
   287	170.171
   288	171.238
   289	172.360
   290	173.493
   291	174.604
   292	175.671
   293	176.675
   294	177.600
   295	178.430
   296	179.152
   297	179.758
   298	-179.751
   299	-179.370
   300	-179.087
   301	-178.888
   302	-178.764
   303	-178.704
   304	-178.705
   305	-178.756
   306	-178.847
   307	-178.962
   308	-179.088
   309	-179.218
   310	-179.355
   311	-179.510
   312	-179.701
   313	-179.945
   314	179.747
   315	179.373
   316	178.943
   317	178.472
   318	177.981
   319	177.495
   320	177.037
   321	176.635
   322	176.318
   323	176.120
   324	176.073
   325	176.203
   326	176.527
   327	177.042
   328	177.732
   329	178.569
   330	179.512
   331	-179.486
   332	-178.482
   333	-177.526
   334	-176.664
   335	-175.928
   336	-175.334
   337	-174.885
   338	-174.575
   339	-174.397
   340	-174.349
   341	-174.430
   342	-174.645
   343	-175.003
   344	-175.504
   345	-176.149
   346	-176.926
   347	-177.821
   348	-178.814
   349	-179.887
   350	178.981
   351	177.814
   352	176.648
   353	175.529
   354	174.513
   355	173.654
   356	172.989
   357	172.536
   358	172.298
   359	172.271
   360	172.451
   361	172.839
   362	173.431
   363	174.219
   364	175.179
   365	176.265
   366	177.419
   367	178.584
   368	179.709
   369	-179.239
   370	-178.281
   371	-177.426
   372	-176.684
   373	-176.067
   374	-175.592
   375	-175.268
   376	-175.093
   377	-175.051
   378	-175.113
   379	-175.246
   380	-175.421
   381	-175.615
   382	-175.817
   383	-176.027
   384	-176.250
   385	-176.493
   386	-176.763
   387	-177.064
   388	-177.393
   389	-177.740
   390	-178.088
   391	-178.406
   392	-178.657
   393	-178.801
   394	-178.806
   395	-178.657
   396	-178.354
   397	-177.911
   398	-177.349
   399	-176.689
   400	-175.947
   401	-175.136
   402	-174.265
   403	-173.346
   404	-172.400
   405	-171.459
   406	-170.563
   407	-169.763
   408	-169.111
   409	-168.662
   410	-168.464
   411	-168.558
   412	-168.965
   413	-169.681
   414	-170.669
   415	-171.871
   416	-173.221
   417	-174.662
   418	-176.149
   419	-177.649
   420	-179.132
   421	179.430
   422	178.072
   423	176.832
   424	175.742
   425	174.835
   426	174.137
   427	173.672
   428	173.461
   429	173.530
   430	173.897
   431	174.572
   432	175.542
   433	176.762
   434	178.149
   435	179.604
   436	-178.969
