1 -52.273 178.969
2 -52.705 178.308
3 -53.790 177.753
4 -55.503 177.316
5 -57.757 176.999
6 -60.451 176.792
7 -63.507 176.676
8 -66.880 176.625
9 -70.530 176.611
10 -74.397 176.605
11 -78.349 176.584
12 -82.182 176.525
13 -85.671 176.407
14 -88.645 176.214
15 -91.038 175.928
16 -92.862 175.541
17 -94.162 175.048
18 -94.981 174.455
19 -95.339 173.771
20 -95.238 173.016
21 -94.680 172.212
22 -93.696 171.388
23 -92.356 170.576
24 -90.748 169.809
25 -88.950 169.122
26 -86.997 168.551
27 -84.886 168.123
28 -82.589 167.859
29 -80.082 167.767
30 -77.383 167.853
31 -74.579 168.115
32 -71.832 168.551
33 -69.328 169.158
34 -67.209 169.921
35 -65.536 170.819
36 -64.297 171.812
37 -63.443 172.854
38 -62.926 173.895
39 -62.720 174.896
40 -62.821 175.835
41 -63.227 176.703
42 -63.910 177.506
43 -64.800 178.254
44 -65.787 178.958
45 -66.741 179.623
46 -67.541 -179.752
47 -68.103 -179.169
48 -68.402 -178.633
49 -68.473 -178.154
50 -68.395 -177.742
51 -68.251 -177.415
52 -68.085 -177.198
53 -67.884 -177.121
54 -67.601 -177.217
55 -67.191 -177.515
56 -66.636 -178.028
57 -65.955 -178.755
58 -65.192 -179.672
59 -64.410 179.258
60 -63.679 178.079
61 -63.073 176.842
62 -62.659 175.604
63 -62.487 174.425
64 -62.575 173.378
65 -62.914 172.529
66 -63.488 171.932
67 -64.285 171.623
68 -65.297 171.612
69 -66.504 171.889
70 -67.861 172.429
71 -69.288 173.200
72 -70.683 174.166
73 -71.951 175.289
74 -73.011 176.527
75 -73.810 177.836
76 -74.310 179.170
77 -74.488 -179.512
78 -74.334 -178.245
79 -73.855 -177.056
80 -73.070 -175.960
81 -72.014 -174.967
82 -70.736 -174.086
83 -69.288 -173.328
84 -67.715 -172.709
85 -66.045 -172.248
86 -64.301 -171.964
87 -62.518 -171.878
88 -60.758 -172.006
89 -59.117 -172.362
90 -57.726 -172.960
91 -56.711 -173.813
92 -56.146 -174.929
93 -56.017 -176.308
94 -56.249 -177.929
95 -56.732 -179.749
96 -57.375 178.298
97 -58.116 176.287
98 -58.937 174.289
99 -59.853 172.355
100 -60.883 170.521
101 -62.025 168.811
102 -63.239 167.244
103 -64.452 165.840
104 -65.572 164.619
105 -66.515 163.604
106 -67.213 162.811
107 -67.626 162.249
108 -67.741 161.917
109 -67.574 161.808
110 -67.166 161.910
111 -66.581 162.213
112 -65.894 162.711
113 -65.161 163.401
114 -64.407 164.279
115 -63.618 165.336
116 -62.774 166.551
117 -61.871 167.888
118 -60.942 169.295
119 -60.060 170.718
120 -59.328 172.107
121 -58.845 173.418
122 -58.663 174.617
123 -58.769 175.677
124 -59.106 176.574
125 -59.610 177.291
126 -60.251 177.824
127 -61.046 178.177
128 -62.050 178.365
129 -63.326 178.407
130 -64.882 178.323
131 -66.637 178.130
132 -68.429 177.840
133 -70.083 177.458
134 -71.476 176.990
135 -72.569 176.444
136 -73.389 175.826
137 -73.995 175.145
138 -74.450 174.410
139 -74.791 173.628
140 -75.009 172.806
141 -75.066 171.958
142 -74.928 171.111
143 -74.595 170.307
144 -74.092 169.603
145 -73.455 169.058
146 -72.705 168.718
147 -71.853 168.611
148 -70.905 168.744
149 -69.872 169.115
150 -68.796 169.721
151 -67.743 170.559
152 -66.789 171.626
153 -65.978 172.916
154 -65.303 174.409
155 -64.723 176.069
156 -64.179 177.843
157 -63.629 179.666
158 -63.055 -178.528
159 -62.469 -176.795
160 -61.913 -175.182
161 -61.437 -173.726
162 -61.081 -172.461
163 -60.853 -171.419
164 -60.719 -170.636
165 -60.625 -170.138
166 -60.526 -169.943
167 -60.412 -170.048
168 -60.318 -170.432
169 -60.311 -171.060
170 -60.471 -171.893
171 -60.853 -172.887
172 -61.460 -174.003
173 -62.239 -175.201
174 -63.100 -176.445
175 -63.957 -177.696
176 -64.754 -178.923
177 -65.481 179.898
178 -66.177 178.781
179 -66.909 177.729
180 -67.738 176.740
181 -68.683 175.807
182 -69.708 174.921
183 -70.741 174.081
184 -71.711 173.286
185 -72.575 172.542
186 -73.335 171.861
187 -74.034 171.254
188 -74.740 170.733
189 -75.520 170.315
190 -76.404 170.019
191 -77.366 169.872
192 -78.342 169.905
193 -79.259 170.143
194 -80.060 170.597
195 -80.714 171.253
196 -81.199 172.074
197 -81.491 173.011
198 -81.568 174.013
199 -81.419 175.040
200 -81.063 176.061
201 -80.550 177.047
202 -79.950 177.966
203 -79.315 178.783
204 -78.671 179.452
205 -78.014 179.931
206 -77.333 -179.811
207 -76.624 -179.781
208 -75.911 -179.965
209 -75.251 179.667
210 -74.721 179.152
211 -74.397 178.524
212 -74.317 177.812
213 -74.485 177.037
214 -74.883 176.221
215 -75.505 175.387
216 -76.365 174.564
217 -77.490 173.778
218 -78.899 173.049
219 -80.553 172.382
220 -82.337 171.766
221 -84.074 171.185
222 -85.600 170.616
223 -86.819 170.048
224 -87.711 169.478
225 -88.305 168.911
226 -88.643 168.361
227 -88.754 167.842
228 -88.645 167.369
229 -88.310 166.951
230 -87.745 166.596
231 -86.972 166.308
232 -86.034 166.089
233 -84.983 165.942
234 -83.860 165.871
235 -82.695 165.879
236 -81.520 165.965
237 -80.368 166.128
238 -79.284 166.365
239 -78.328 166.670
240 -77.569 167.035
241 -77.072 167.452
242 -76.871 167.908
243 -76.957 168.385
244 -77.294 168.859
245 -77.846 169.300
246 -78.597 169.686
247 -79.549 170.003
248 -80.716 170.257
249 -82.090 170.464
250 -83.614 170.651
251 -85.177 170.844
252 -86.645 171.065
253 -87.909 171.328
254 -88.893 171.645
255 -89.548 172.020
256 -89.848 172.459
257 -89.784 172.966
258 -89.376 173.544
259 -88.663 174.191
260 -87.709 174.895
261 -86.592 175.633
262 -85.385 176.373
263 -84.130 177.077
264 -82.833 177.704
265 -81.484 178.214
266 -80.069 178.571
267 -78.595 178.744
268 -77.089 178.710
269 -75.602 178.453
270 -74.203 177.966
271 -72.974 177.253
272 -71.985 176.334
273 -71.279 175.247
274 -70.872 174.049
275 -70.771 172.808
276 -70.981 171.594
277 -71.512 170.471
278 -72.368 169.483
279 -73.513 168.662
280 -74.851 168.032
281 -76.239 167.615
282 -77.547 167.433
283 -78.695 167.505
284 -79.652 167.836
