   312	ALA-2
   313	ALA-2
   314	ALA-2
   315	ALA-2
   316	ALA-2
   317	ALA-2
   318	ALA-2
   319	ALA-2
   320	ALA-2
   321	ALA-2
   322	ALA-2
   323	ALA-2
   324	ALA-2
   325	ALA-2
   326	ALA-2
   327	ALA-2
   328	ALA-2
   329	ALA-2
   330	ALA-2
   331	ALA-2
   332	ALA-2
   333	ALA-2
   334	ALA-2
   335	ALA-2
   336	ALA-2
   337	ALA-2
   338	ALA-2
   339	ALA-2
   340	ALA-2
   341	ALA-2
   342	ALA-2
   343	ALA-2
   344	ALA-2
   345	ALA-2
   346	ALA-2
   347	ALA-2
   348	ALA-2
   349	ALA-2
   350	ALA-2
   351	ALA-2
   352	ALA-2
   353	ALA-2
   354	ALA-2
   355	ALA-2
   356	ALA-2
   357	ALA-2
   358	ALA-2
   359	ALA-2
   360	ALA-2
   361	ALA-2
   362	ALA-2
   363	ALA-2
   364	ALA-2
   365	ALA-2
   366	ALA-2
   367	ALA-2
   368	ALA-2
   369	ALA-2
   370	ALA-2
   371	ALA-2
   372	ALA-2
   373	ALA-2
   374	ALA-2
   375	ALA-2
   376	ALA-2
   377	ALA-2
   378	ALA-2
   379	ALA-2
   380	ALA-2
   381	ALA-2
   382	ALA-2
   383	ALA-2
   384	ALA-2
   385	ALA-2
   386	ALA-2
   387	ALA-2
   388	ALA-2
   389	ALA-2
   390	ALA-2
   391	ALA-2
   392	ALA-2
   393	ALA-2
   394	ALA-2
   395	ALA-2
   396	ALA-2
   397	ALA-2
   398	ALA-2
   399	ALA-2
   400	ALA-2
   401	ALA-2
   402	ALA-2
   403	ALA-2
   404	ALA-2
   405	ALA-2
   406	ALA-2
   407	ALA-2
   408	ALA-2
   409	ALA-2
   410	ALA-2
   411	ALA-2
   412	ALA-2
   413	ALA-2
   414	ALA-2
   415	ALA-2
   416	ALA-2
   417	ALA-2
   418	ALA-2
   419	ALA-2
   420	ALA-2
   421	ALA-2
   422	ALA-2
   423	ALA-2
   424	ALA-2
   425	ALA-2
   426	ALA-2
   427	ALA-2
   428	ALA-2
   429	ALA-2
   430	ALA-2
   431	ALA-2
   432	ALA-2
   433	ALA-2
   434	ALA-2
   435	ALA-2
   436	ALA-2
   437	ALA-2
   438	ALA-2
   439	ALA-2
   440	ALA-2
   441	ALA-2
   442	ALA-2
   443	ALA-2
   444	ALA-2
   445	ALA-2
   446	ALA-2
   447	ALA-2
   448	ALA-2
   449	ALA-2
   450	ALA-2
   451	ALA-2
   452	ALA-2
   453	ALA-2
   454	ALA-2
   455	ALA-2
   456	ALA-2
   457	ALA-2
   458	ALA-2
   459	ALA-2
   460	ALA-2
   461	ALA-2
   462	ALA-2
   463	ALA-2
   464	ALA-2
   465	ALA-2
   466	ALA-2
   467	ALA-2
   468	ALA-2
   469	ALA-2
   470	ALA-2
   471	ALA-2
   472	ALA-2
   473	ALA-2
   474	ALA-2
   475	ALA-2
   476	ALA-2
   477	ALA-2
   478	ALA-2
   479	ALA-2
   480	ALA-2
   481	ALA-2
   482	ALA-2
   483	ALA-2
   484	ALA-2
   485	ALA-2
   486	ALA-2
   487	ALA-2
   488	ALA-2
   489	ALA-2
   490	ALA-2
   491	ALA-2
   492	ALA-2
   493	ALA-2
   494	ALA-2
   495	ALA-2
   496	ALA-2
   497	ALA-2
   498	ALA-2
