1 153.942 ARG-3
2 157.758 ARG-3
3 153.302 ARG-3
4 148.354 ARG-3
5 152.025 ARG-3
6 149.802 ARG-3
7 143.726 ARG-3
8 141.836 ARG-3
9 147.344 ARG-3
10 150.559 ARG-3
11 150.311 ARG-3
12 150.545 ARG-3
13 149.263 ARG-3
14 142.719 ARG-3
15 137.989 ARG-3
16 141.696 ARG-3
17 140.76 ARG-3
18 142.351 ARG-3
19 143.666 ARG-3
20 141.017 ARG-3
21 139.29 ARG-3
22 139.535 ARG-3
23 139.48 ARG-3
24 139.09 ARG-3
25 136.075 ARG-3
26 136.949 ARG-3
27 140.222 ARG-3
28 137.536 ARG-3
29 132.073 ARG-3
30 136.542 ARG-3
31 139.641 ARG-3
32 133.014 ARG-3
33 122.776 ARG-3
34 124.893 ARG-3
35 133.03 ARG-3
36 128.876 ARG-3
37 123.066 ARG-3
38 128.939 ARG-3
39 133.178 ARG-3
40 129.458 ARG-3
41 130.863 ARG-3
42 135.497 ARG-3
43 135.635 ARG-3
44 134.074 ARG-3
45 136.761 ARG-3
46 138.81 ARG-3
47 136.337 ARG-3
48 140.05 ARG-3
49 144.97 ARG-3
50 140.957 ARG-3
51 138.972 ARG-3
52 143.844 ARG-3
53 143.972 ARG-3
54 136.826 ARG-3
55 137.299 ARG-3
56 144.667 ARG-3
57 145.145 ARG-3
58 144.386 ARG-3
59 150.995 ARG-3
60 156.443 ARG-3
61 151.564 ARG-3
62 148.854 ARG-3
63 156.832 ARG-3
64 157.576 ARG-3
65 151.194 ARG-3
66 150.56 ARG-3
67 156.086 ARG-3
68 154.904 ARG-3
69 149.268 ARG-3
70 149.231 ARG-3
71 155.212 ARG-3
72 149.878 ARG-3
73 145.574 ARG-3
74 150.524 ARG-3
75 155.911 ARG-3
76 149.55 ARG-3
77 150.001 ARG-3
78 153.819 ARG-3
79 152.352 ARG-3
80 148.404 ARG-3
81 151.563 ARG-3
82 154.043 ARG-3
83 153.594 ARG-3
84 151.33 ARG-3
85 157.049 ARG-3
86 161.249 ARG-3
87 153.662 ARG-3
88 149.236 ARG-3
89 156.543 ARG-3
90 157.555 ARG-3
91 149.125 ARG-3
92 149.388 ARG-3
93 155.157 ARG-3
94 150.194 ARG-3
95 143.263 ARG-3
96 143.672 ARG-3
97 140.164 ARG-3
98 136.62 ARG-3
99 144.464 ARG-3
100 147.967 ARG-3
101 142.142 ARG-3
102 137.788 ARG-3
103 137.14 ARG-3
104 135.44 ARG-3
105 129.828 ARG-3
106 131.675 ARG-3
107 137.597 ARG-3
108 138.251 ARG-3
109 131.846 ARG-3
110 132.019 ARG-3
111 133.629 ARG-3
112 129.004 ARG-3
113 125.408 ARG-3
114 128.345 ARG-3
115 132.4 ARG-3
116 135.132 ARG-3
117 133.755 ARG-3
118 135.038 ARG-3
119 133.11 ARG-3
120 130.248 ARG-3
121 133.114 ARG-3
122 134.935 ARG-3
123 135.565 ARG-3
124 136.864 ARG-3
125 140.233 ARG-3
126 137.306 ARG-3
127 133.199 ARG-3
128 135.428 ARG-3
129 140.72 ARG-3
130 143.692 ARG-3
131 142.683 ARG-3
132 143.682 ARG-3
133 144.998 ARG-3
134 139.722 ARG-3
135 136.367 ARG-3
136 139.482 ARG-3
137 143.678 ARG-3
138 146.029 ARG-3
139 150.614 ARG-3
140 154.037 ARG-3
141 154.299 ARG-3
142 151.674 ARG-3
143 153.138 ARG-3
144 151.689 ARG-3
145 148.534 ARG-3
146 152.786 ARG-3
147 156.576 ARG-3
148 157.759 ARG-3
149 157.302 ARG-3
150 157.377 ARG-3
151 156.702 ARG-3
152 159.02 ARG-3
153 159.649 ARG-3
154 161.909 ARG-3
155 160.535 ARG-3
156 157.158 ARG-3
157 152.592 ARG-3
158 150.778 ARG-3
159 146.98 ARG-3
160 147.333 ARG-3
161 145.762 ARG-3
162 145.193 ARG-3
163 140.103 ARG-3
164 136.945 ARG-3
165 136.965 ARG-3
166 135.908 ARG-3
167 131.528 ARG-3
168 131.401 ARG-3
169 134.288 ARG-3
170 134.948 ARG-3
171 137.127 ARG-3
172 138.433 ARG-3
173 137.953 ARG-3
174 133.208 ARG-3
175 129.303 ARG-3
176 126.814 ARG-3
177 127.3 ARG-3
178 127.857 ARG-3
179 132.751 ARG-3
180 133.749 ARG-3
181 130.19 ARG-3
182 132.807 ARG-3
183 137.845 ARG-3
184 136.78 ARG-3
185 138.054 ARG-3
186 139.604 ARG-3
187 135.74 ARG-3
188 133.915 ARG-3
189 139.15 ARG-3
190 139.293 ARG-3
191 136.182 ARG-3
192 135.035 ARG-3
193 140.758 ARG-3
194 141.495 ARG-3
195 135.959 ARG-3
196 135.1 ARG-3
197 136.432 ARG-3
198 132.319 ARG-3
199 130.192 ARG-3
200 136.924 ARG-3
201 142.558 ARG-3
202 142.719 ARG-3
203 136.885 ARG-3
204 133.941 ARG-3
205 134.175 ARG-3
206 131.544 ARG-3
207 131.934 ARG-3
208 137.315 ARG-3
209 138.522 ARG-3
210 138.13 ARG-3
211 140.902 ARG-3
212 142.998 ARG-3
213 139.042 ARG-3
214 136.794 ARG-3
215 143.669 ARG-3
216 145.899 ARG-3
217 137.533 ARG-3
218 135.399 ARG-3
219 137.837 ARG-3
220 137.022 ARG-3
221 135.061 ARG-3
222 140.623 ARG-3
223 148.384 ARG-3
